,NAME,OWNERSHIP,LOCATION,ALIAS_NAME
0,South Carlsbad SB,State Parks,,South Carlsbad State Beach
1,Torrey Pines SB,State Parks,,Torrey Pines State Beach
2,Ruocco Park,SDUPD,"585 Harbor Ln, San Diego. California",Ruocco Park
3,Tuna Harbor Park,SDUPD,"700 North Harbor Dr, San Diego. California",Tuna Harbor Park
4,San Diego Bayfront Park,SDUPD,"One Park Boulevard, San Diego. California",San Diego Bayfront Park
5,Pepper Park,SDUPD,"3299 Tidelands Av, National City. California",Pepper Park
6,Ocotillo Wells SVRA,State Parks,,Ocotillo Wells SVRA
7,We-Nelsch CP,State Parks,,We-Nelsch Cultural Preserve
8,Agua Caliente County Park (ABDSP),State Parks,,Agua Caliente County Park
9,Santa Rosa Mountains SW,State Parks,,Santa Rosa Mountains State Wilderness
10,San Pasqual Battlefield SHP,State Parks,,San Pasqual Battlefield State Park
11,Carlsbad SB,State Parks,,Carlsbad State Beach
12,Anza-Borrego Desert SW,State Parks,,Anza-Borrego Desert State Wilderness
13,Coyote Canyon CP,State Parks,,Coyote Canyon Cultural Preserve
14,Los Penasquitos Marsh NP,State Parks,,Los Penasquitos Marsh Nature Nature Preserve
15,Border Field SP,State Parks,,Border Field State Park
16,Cuyamaca Rancho SP,State Parks,,Cuyamaca Rancho State Park
17,Ocotillo Wells SVRA,State Parks,,Ocotillo Wells SVRA
18,Old Town San Diego SHP,State Parks,,Old Town San Diego State Park
19,Palomar Mountain SP,State Parks,,Palomar Mountain State Park
20,San Onofre SB,State Parks,,San Onofre State Beach
21,Torrey Pines SNR,State Parks,,Torrey Pines State Nature Reserve
22,Grand Caribe Shoreline Park,SDUPD,"598 Grand Caribe Cswy, Coronado. California",Grand Caribe Shoreline Park
23,Ah-Ha-Kwe-Ah-Mac/Stonewall Mine CP,State Parks,,Ah-Ha-Kwe-Ah-Mac/Stonewall Mine Cultural Preserve
24,Pilcha (West Mesa) CP,State Parks,,Pilcha (West Mesa) Cultural Preserve
25,Kumeyaay Soapstone CP,State Parks,,Kumeyaay Soapstone Cultural Preserve
26,Cuish-Cuish (East Mesa) CP,State Parks,,Cuish-Cuish (East Mesa) Cultural Preserve
27,Doane Valley NP,State Parks,,Doane Valley Nature Nature Preserve
28,Trestles Wetlands NP,State Parks,,Trestles Wetlands Nature Nature Preserve
29,Shelter Island Shoreline Park (North),SDUPD,"1500 Shelter Island Dr, San Diego. California",Shelter Island Shoreline Park (North)
30,Coronado Ferry Landing Park,SDUPD,"1 B Av, Coronado. California",Coronado Ferry Landing Park
31,Centennial Park,SDUPD,"1 B Av, Coronado. California",Centennial Park
32,Lane Field Park,SDUPD,"1009 North Harbor Dr, San Diego. California",Lane Field Park
33,Broadway Landing,SDUPD,"1198 West Broadway, San Diego. California",Broadway Landing
34,Harbor Island Park,SDUPD,"1875 Harbor Island Dr, San Diego. California",Harbor Island Park
35,Spanish Landing Park (East),SDUPD,"3900 North Harbor Dr, San Diego. California",Spanish Landing Park (East)
36,Spanish Landing Park (West),SDUPD,"4300 North Harbor Dr, San Diego. California",Spanish Landing Park (West)
37,Spanish Landing Park (West),SDUPD,"4300 North Harbor Dr, San Diego. California",Spanish Landing Park (West)
38,Tuna Harbor Park,SDUPD,"700 North Harbor Dr, San Diego. California",Tuna Harbor Park
39,Shelter Island Shoreline Park (Central),SDUPD,"1800 Shelter Island Dr, San Diego. California",Shelter Island Shoreline Park (Central)
40,Shelter Island Shoreline Park (Central),SDUPD,"1800 Shelter Island Dr, San Diego. California",Shelter Island Shoreline Park (Central)
41,Shelter Island Shoreline Park (Central),SDUPD,"1800 Shelter Island Dr, San Diego. California",Shelter Island Shoreline Park (Central)
42,Chula Vista Bayside Park & Pier,SDUPD,"999 Bayside Pkwy, Chula Vista. California",Chula Vista Bayside Park & Pier
43,MAXTON BROWN PARK,City of Carlsbad,Laguna Dr and State St,Maxton Brown Park
44,OAK PARK,City of Carlsbad,Oak Av and Pio Pico Dr,Oak Park
45,MAGEE PARK,City of Carlsbad,258 Beech Avenue,Magee Park
46,HOLIDAY PARK,City of Carlsbad,Chestnut Ave and Pio Pico Drive,Holiday Park
47,ROTARY PARK,City of Carlsbad,2900 Washington St,Rotary Park
48,PINE PARK,City of Carlsbad,3500 Harding St,Pine Park
49,CHASE FIELD,City of Carlsbad,3400 Harding St,Chase Field
50,LAGUNA RIVERA PARK,City of Carlsbad,Kelly and Park Dr,Laguna Rivera Park
51,ZONE 5 PARK,City of Carlsbad,Faraday Av and Camino Hills Dr,Zone 5 Park
52,Culp Valley CP,State Parks,,Culp Valley Cultural Preserve
53,Angelina Spring CP,State Parks,,Angelina Spring Cultural Preserve
54,Little Blair Valley CP,State Parks,,Little Blair Valley Cultural Preserve
55,Piedras Grandes CP,State Parks,,Piedras Grandes Cultural Preserve
56,Southern Overland Trail CP,State Parks,,Southern Overland Trail Cultural Preserve
57,Barrel Springs CP,State Parks,,Barrel Springs Cultural Preserve
58,Hawi-Vallecito CP,State Parks,,Hawi-Vallecito Cultural Preserve
59,Ellen Browning Scripps NP,State Parks,,Ellen Browning Scripps Nature Nature Preserve
60,Anza-Borrego Desert SP,State Parks,,Anza-Borrego Desert State Park
61,Los Penasquitos Marsh NP,State Parks,,Los Penasquitos Marsh Nature Nature Preserve
62,Navy Pier,SDUPD,"900 North Harbor Dr, San Diego. California",Navy Pier
63,Coronado Tidelands Park,SDUPD,"2000 Mullinix Dr, Coronado. California",Coronado Tidelands Park
64,Dunes Park,SDUPD,"790 Seacoast Dr, Imperial Beach. California",Dunes Park
65,Cesar Chavez Park,SDUPD,"1449 Cesar E. Chavez Pkwy, San Diego. California",Cesar Chavez Park
66,Fifth Avenue Landing Lawn Area,SDUPD,"600 Convention Center Wy, San Diego. California",Fifth Avenue Landing Lawn Area
67,Yacht Club Promenade Pocket Park,SDUPD,"Strand Wy, Coronado. California",Yacht Club Promenade Pocket Park
68,Embarcadero Marina Park North,SDUPD,"400 Kettner Blvd, San Diego. California",Embarcadero Marina Park North
69,Point Loma Marina Park,SDUPD,"2040 Harbor Island Drive, San Diego. California",Point Loma Marina Park
70,Portwood Pier Plaza,SDUPD,"940 Seacoast Dr, Imperial Beach. California",Portwood Pier Plaza
71,Holiday Estates I Park,City of Chula Vista,383 Connoley Cir,Holiday Estates I Park
72,Silver Strand SB,State Parks,,Silver Strand State Beach
73,Moonlight SB,State Parks,,Moonlight State Beach
74,Leucadia SB,State Parks,,Leucadia State Beach
75,Cuyamaca Mountain SW,State Parks,,Cuyamaca Mountain State Wilderness
76,Cuyamaca Meadow NP,State Parks,,Cuyamaca Meadow Nature Preserve
77,SKATE PARK,City of Carlsbad,Safety Center & Orion Wy,Skate Park
78,Gayle L McCandliss Park,City of Chula Vista,415 E J St,Gayle L Mccandliss Park
79,Sunbow Park,City of Chula Vista,500 E Naples St,Sunbow Park
80,Lancerlot Park,City of Chula Vista,750 K St,Lancerlot Park
81,Eucalyptus Park,City of Chula Vista,Fourth Av & C St,Eucalyptus Park
82,Friendship Park,City of Chula Vista,Fourth Av & F St,Friendship Park
83,Norman Park,City of Chula Vista,270 F St,Norman Park
84,Chula Vista Women's Club,City of Chula Vista,390 Garrett Av,Chula Vista Women'S Club
85,Memorial Park,City of Chula Vista,373 Park Wy,Memorial Park
86,Bay Boulevard Park,City of Chula Vista,F St & Bay Bl,Bay Boulevard Park
87,Bayside Park,SDUPD,Bayside Pw,Bayside Park
88,Bayfront Park,SDUPD,800 Marina Pkwy,Bayfront Park
89,Marina View Park,SDUPD,800 Marina Pkwy,Marina View Park
90,Embarcadero Marina Park South,SDUPD,"20 Marina Park Wy, San Diego. California",Embarcadero Marina Park South
91,Coronado Skatepark,SDUPD,"2000 Mullinix Drive, Coronado. California",Coronado Skatepark
92,Kellogg Beach Park,SDUPD,"Kellogg St., San Diego, California",Kellogg Beach Park
93,Shelter Island Shoreline Park (South),SDUPD,"1500 Shelter Island Dr, San Diego. California",Shelter Island Shoreline Park (South)
94,FUERTE PARK,City of Carlsbad,El Fuerte St and Corinitia St,Fuerte Park
95,STAGECOACH PARK,City of Carlsbad,3420 Camino de los Coches,Stagecoach Park
96,ALGA NORTE PARK,City of Carlsbad,6565 Alicante Rd,Alga Norte Park
97,Marisol Park,City of Chula Vista,916 Rancho Del Rey Pkwy,Marisol Park
98,Terra Nova Park,City of Chula Vista,450 Hidden Vista Dr,Terra Nova Park
99,Rohr Park,City of Chula Vista,4548 Sweetwater Rd,Rohr Park
100,Discovery Park,City of Chula Vista,700 Buena Vista Wy,Discovery Park
101,Loma Verde Park,City of Chula Vista,1420 Loma Ln,Loma Verde Park
102,Rienstra Sports Complex,City of Chula Vista,1500 Max Av,Rienstra Sports Complex
103,Los Ninos Park,City of Chula Vista,150 Teal St,Los Ninos Park
104,Connoley Park,City of Chula Vista,1559 Connoley Av,Connoley Park
105,Holiday Estates II Park,City of Chula Vista,368 Connoley Cir,Holiday Estates Ii Park
106,Glen Park,City of Encinitas,2149 Orinda Dr,Glen Park
107,Las Verdes Park,City of Encinitas,1390 Paseo De Las Verdes,Las Verdes Park
108,Wiro Park,City of Encinitas,2232 El Camino Del Norte,Wiro Park
109,Encinitas Viewpoint,City of Encinitas,56 E D St,Encinitas Viewpoint
110,Horizon Park,City of Chula Vista,970 E Palomar St,Horizon Park
111,Sunridge Park,City of Chula Vista,952 Beechglen Dr,Sunridge Park
112,Chula Vista Marina View Park,SDUPD,"900 Marina Pkwy, Chula Vista. California",Chula Vista Marina View Park
113,Chula Vista Bayfront Park,SDUPD,"980 Marina Pkwy, Chula Vista. California",Chula Vista Bayfront Park
114,Otay Park,City of Chula Vista,1613 Albany Av,Otay Park
115,Otay Gym & Rec Center,City of Chula Vista,3554 Main St,Otay Gym & Rec Center
116,Valle Lindo Park,City of Chula Vista,545 Sequoia Dr,Valle Lindo Park
117,Greg Rogers Park,City of Chula Vista,1189 Oleander Av,Greg Rogers Park
118,Veterans Park,City of Chula Vista,785 E Palomar St,Veterans Park
119,CALAVERA PARK,City of Carlsbad,2997 Glasgow Drive,Calavera Park
120,CANNON PARK,City of Carlsbad,Carlsbad Bl and Cannon Rd,Cannon Park
121,HIDDEN CANYON PARK,City of Carlsbad,Carlsbad Village Dr,Hidden Canyon Park
122,DOG PARK,City of Carlsbad,Carlsbad Village Dr,Dog Park
123,AVIARA OAKS SCHOOL FIELD,City of Carlsbad,Ambrosia Ln & Aviara Pkwy,Aviara Oaks School Field
124,HOSP GROVE PARK,City of Carlsbad,Jefferson & Monroe,Hosp Grove Park
125,CARLSBAD HIGH SCHOOL,City of Carlsbad,3557 Monroe St,Carlsbad High School
126,MONROE STREET POOL,City of Carlsbad,3557 Monroe St,Monroe Street Pool
127,MAGNOLIA ATHLETIC FIELD,City of Carlsbad,Valley St and Tamarack Av,Magnolia Athletic Field
128,Independence Park,City of Chula Vista,1248 Calle Santiago,Independence Park
129,Rancho Del Rey Park North,City of Chula Vista,1311 Buena Vista Wy,Rancho Del Rey Park North
130,Rancho Del Rey Finger,City of Chula Vista,1311 Buena Vista Wy,Rancho Del Rey Park Finger
131,Rancho Del Rey South,City of Chula Vista,1311 Buena Vista Wy,Rancho Del Rey Park South
132,Hilltop Park,City of Chula Vista,780 Hilltop Dr,Hilltop Park
133,Harborside Park,City of Chula Vista,670 Oxford St,Harborside Park
134,Lauderbach Park,City of Chula Vista,333 Oxford St,Lauderbach Park
135,Palomar Park,City of Chula Vista,1350 Park Dr,Palomar Park
136,Sherwood Park,City of Chula Vista,69 Sherwood St,Sherwood Park
137,SDG&E West,City of Chula Vista,1450 Hilltop Dr,Sdg&E West
138,SDG&E East,City of Chula Vista,1420 Loma Ln,Sdg&E East
139,Explorer Park,City of Chula Vista,Rancho Del Rey Py & Norella St,Explorer Park
140,POINSETTIA PARK,City of Carlsbad,6600 Hidden Valley Road,Poinsettia Park
141,LEVANTE PARK,City of Carlsbad,3035 Levante St,Levante Park
142,Hawk View Park,City of Encinitas,1309 Blue Heron Ave,Hawk View Park
143,Sun Vista Park,City of Encinitas,2011 Avenida La Posta,Sun Vista Park
144,Little Oaks Equestrian Park,City of Encinitas,2879 Lone Jack Rd,Little Oaks Equestrian Park
145,Oak Crest Park,City of Encinitas,1219 Encinitas Blvd,Oak Crest Park
146,Las Verdes Park,City of Encinitas,1390 Paseo De Las Verdes,Las Verdes Park
147,Mildred MacPherson Park,City of Encinitas,1045 S Vulcan Ave,Mildred Macpherson Park
148,MacKenzie Creek Park,City of Chula Vista,2775 Mackenzie Creek Rd,Mackenzie Creek Park
149,Montevalle Park,City of Chula Vista,840 Duncan Ranch Rd,Montevalle Park
150,Chula Vista Community Park,City of Chula Vista,1060 Eastlake Pkwy,Chula Vista Community Park
151,Salt Creek Park,City of Chula Vista,2710 Otay Lakes Rd,Salt Creek Park
152,Sunset View Park,City of Chula Vista,1390 S Greensview Dr,Sunset View Park
153,Bostonia,City of El Cajon,1049 Bostonia Street,Bostonia Park
154,Tuttle,City of El Cajon,379 W. Chase Avenue,Tuttle Park
155,Fire Station,City of El Cajon,695 Tyrone Street,Fire Station
156,Hillside,City of El Cajon,840 Buena Terrace,Hillside Park
157,Albert Van Zanten,City of El Cajon,1495 Greenfield Drive,Albert Van Zanten Park
158,Centennial Plaza,City of El Cajon,200 Civic Center Way,Centennial Plaza Park
159,Orpheus Park,City of Encinitas,482 Orpheus Ave,Orpheus Park
160,Kuhlken Park,City of La Mesa,,Kuhlken Park
161,Centennial Park,City of Coronado,,Centennial Park
162,Rotary Park,City of Coronado,,Rotary Park
163,Harbor View Park,City of Coronado,,Harbor View Park
164,Spreckles Park Wests,City of Coronado,,Spreckles Park Wests
165,Vista del Barco,City of Coronado,,Vista Del Barco Park
166,Vernetti Field,City of Coronado,,Vernetti Field
167,POWERHOUSE PARK,City of Del Mar,,Powerhouse Park
168,SEA GROVE PARK,City of Del Mar,,Sea Grove Park
169,TORREY PINES STATE RESERVE,City of Del Mar,,Torrey Pines State Reserve
170,DOG BEACH,City of Del Mar,,Dog Beach
171,CREST RIM PARK,City of Del Mar,,Crest Rim Park
172,SEA CLIFF PARK,City of Del Mar,,Sea Cliff Park
173,Bill Beck,City of El Cajon,543 N. Pierce Street,Bill Beck Park
174,Fletcher Hills,City of El Cajon,2345 Center Place,Fletcher Hills
175,Wells,City of El Cajon,1153 E. Madison Avenue,Wells Park
176,Kennedy,City of El Cajon,1675 E. Madison Avenue,Kennedy Park
177,Judson,City of El Cajon,326 N. Magnolia Avenue,Judson Park
178,Prescott Promenade,City of El Cajon,201 E. Main Street,Prescott Promenade
179,Paseo Del Rey Park,City of Chula Vista,750 Paseo Del Rey,Paseo Del Rey Park
180,LEO CARRILLO HISTORIC PARK,City of Carlsbad,Melrose Dr and Poinsettia Ln,Leo Carrillo Historic Park
181,AVIARA COMMUNITY PARK,City of Carlsbad,Poinsettia Ln & Ambrosia Ln,Aviara Community Park
182,CADENCIA PARK,City of Carlsbad,3300 Cadencia St,Cadencia Park
183,LA COSTA CANYON PARK,City of Carlsbad,Pueblo St and Rana Court,La Costa Canyon Park
184,El Toyon Park,City of National City,,El Toyon Park
185,Morgan Square Fountain,City of National City,,Morgan Square Fountain
186,Boat Launch / Aquatic Center,City of National City,,Boat Launch / Aquatic Center
187,Pool,City of National City,,Pool
188,Las Palmas Park,City of National City,,Las Palmas Park
189,Kimball Park,City of National City,,Kimball Park
190,Sweetwater Heights Park,City of National City,,Sweetwater Heights Park
191,Paradise Creek Educational Park,City of National City,,Paradise Creek Educational Park
192,Golf Course,City of National City,,Golf Course
193,Pepper Park,City of National City,,Pepper Park
194,Valle Verde Neighborhood Park,City of Poway,,Valle Verde Neighborhood Park
195,Adobe Ridge Neighborhood Park,City of Poway,,Adobe Ridge Neighborhood Park
196,Windingwalk Park,City of Chula Vista,1675 Exploration Falls Dr,Windingwalk Park
197,Spreckles Park,City of Coronado,,Spreckles Park
198,Palm Park,City of Coronado,,Palm Park
199,Triangle Park,City of Coronado,,Triangle Park
200,Glorietta Bay Park,City of Coronado,,Glorietta Bay Park
201,Bayview Park,City of Coronado,,Bayview Park
202,Sunset Park,City of Coronado,,Sunset Park
203,Star Park,City of Coronado,,Star Park
204,Tidelands Park,City of Coronado,,Tidelands Park
205,Mathewson Park,City of Coronado,,Mathewson Park
206,Bay Circle Park,City of Coronado,,Bay Circle Park
207,Bandel Park,City of Coronado,,Bandel Park
208,Vetter Park,City of Coronado,,Vetter Park
209,North Cays Park,City of Coronado,,North Cays Park
210,Coronadao Cays Park,City of Coronado,,Coronadao Cays Park
211,Renette,City of El Cajon,935 S. Emerald Avenue,Renette Park
212,Ecke Sports Park,City of Encinitas,278 Saxony Rd,Ecke Sports Park
213,Voyager Park,City of Chula Vista,1178 E J St,Voyager Park
214,Harvest Park,City of Chula Vista,1550 E Palomar St,Harvest Park
215,Heritage Park,City of Chula Vista,1381 E Palomar St,Heritage Park
216,Bonita Long Canyon Park,City of Chula Vista,1745 Coltridge Ln,Bonita Long Canyon Park
217,Tiffany Park,City of Chula Vista,1713 Elmhurst Av,Tiffany Park
218,Breezewood Park,City of Chula Vista,1091 Breezewood Dr,Breezewood Park
219,Cottonwood Park,City of Chula Vista,1778 E Palomar St,Cottonwood Park
220,Santa Cora Park,City of Chula Vista,1365 Santa Cora Av,Santa Cora Park
221,Santa Venetia Park,City of Chula Vista,1500 Magdalena Av,Santa Venetia Park
222,All Seasons Park,City of Chula Vista,1825 Magdalena Av,All Seasons Park
223,Mount San Miguel Park,City of Chula Vista,2335 Paseo Veracruz,Mount San Miguel Park
224,Mountain Hawk Park,City of Chula Vista,1475 Lake Crest Dr,Mountain Hawk Park
225,Leucadia Oaks Park,City of Encinitas,1511 N Vulcan Ave,Leucadia Oaks Park
226,GROVE PARK,City of Escondido,,Grove Park
227,MAYFLOWER DOG PARK,City of Escondido,,Mayflower Dog Park
228,KIT CARSON PARK,City of Escondido,,Kit Carson Park
229,Teeple Park,City of Imperial Beach,1121 Calla Ave,Teeple Park
230,Dunes Park,City of Imperial Beach,700 Seacoast Dr,Dunes Park
231,Veterans Park,City of Imperial Beach,1075 8th St,Veterans Park
232,Pier Plaza,City of Imperial Beach,10 Evergreen Ave,Pier Plaza
233,Reama Park,City of Imperial Beach,210 Elkwood Ave,Reama Park
234,Triangle Park,City of Imperial Beach,Palm Ave and Highway 75,Triangle Park
235,Sports Park,City of Imperial Beach,441 Imperial Beach Blvd,Sports Park
236,Serenity Gardens,City of Imperial Beach,659 Silver Strand Blvd,Serenity Gardens
237,Pocket Park,City of Imperial Beach,Palm Ave and Silver Strand Blvd,Pocket Park
238,,City of Lemon Grove,3210 MAIN ST,
239,Sunset Park,City of La Mesa,,Sunset Park
240,Briercrest Park,City of La Mesa,,Briercrest Park
241,Aztec Park,City of La Mesa,,Aztec Park
242,Municipal Pool,City of La Mesa,,Municipal Pool
243,La Mesa Golf Course,City of La Mesa,,La Mesa Golf Course
244,MacArthur Park and Community Center,City of La Mesa,,Macarthur Park And Community Center
245,Old Poway Park & Railroad,City of Poway,,Old Poway Park & Railroad
246,Hilleary Park,City of Poway,,Hilleary Park
247,Starridge Neighborhood Park,City of Poway,,Starridge Neighborhood Park
248,Poway Oaks Neighborhood Park,City of Poway,,Poway Oaks Neighborhood Park
249,Sycamore Creek Neighborhood Park - B,City of Poway,,Sycamore Creek Neighborhood Park - B
250,Lake Poway Park,City of Poway,,Lake Poway Park
251,Arbolitos Sports Fields,City of Poway,,Arbolitos Sports Fields
252,Blue Sky Ecological Reserve,City of Poway,,Blue Sky Ecological Reserve
253,Aubrey Park,City of Poway,,Aubrey Park
254,Kumeyaay-Ipai Interpretive Center,City of Poway,,Kumeyaay-Ipai Interpretive Center
255,Arbolitos Mini Park,City of Poway,,Arbolitos Mini Park
256,Lakeview Park,City of San Marcos,700 Foxhall Dr,Lakeview Park
257,Jack's Pond Park,City of San Marcos,986 La Moree Rd,Jack'S Pond Park
258,Alder Glenn Park,City of San Marcos,Park Creek Ct,Alder Glenn Park
259,Sage Pointe Park,City of San Marcos,201 Autumn Dr,Sage Pointe Park
260,"BISHOP, MELBA PARK",City of Oceanside,5306 N River Road,"Bishop, Melba Park"
261,BUCCANEER BEACH PARK,City of Oceanside,1506 South Pacific Street,Buccaneer Beach Park
262,OAK RIPARIAN PARK,City of Oceanside,4625 Lake Boulevard,Oak Riparian Park
263,Poway Community Park,City of Poway,,Poway Community Park
264,Poway Skate Park,City of Poway,,Poway Skate Park
265,Poway Sportsplex,City of Poway,,Poway Sportsplex
266,Poway Dog Park,City of Poway,,Poway Dog Park
267,Eucalyptus Park,County of San Diego,,Eucalyptus Park
268,Collier Park,City of La Mesa,,Collier Park
269,Rolando Park,City of La Mesa,,Rolando Park
270,Vista La Mesa Park,City of La Mesa,,Vista La Mesa Park
271,Junior Seau Sports Complex,State,,Junior Seau Sports Complex
272,Sunset Park,City of San Diego,,Sunset Park
273,Porter Park,City of La Mesa,,Porter Park
274,,City of Lemon Grove,3225 OLIVE ST,
275,,City of Lemon Grove,2271 WASHINGTON ST,
276,,City of Lemon Grove,0 SCHOOL LN,
277,LAKE WOHLFORD PARK,City of Escondido,,Lake Wohlford Park
278,MOUNTAIN VIEW PARK,City of Escondido,,Mountain View Park
279,GRAPE DAY PARK,City of Escondido,,Grape Day Park
280,FELICITA PARK,City of Escondido,,Felicita Park
281,WASHINGTON PARK,City of Escondido,,Washington Park
282,ESCONDIDO BLVD POCKET,City of Escondido,,Escondido Blvd Pocket Park
283,FRANCIS RYAN PARK,City of Escondido,,Francis Ryan Park
284,JESMOND DENE PARK,City of Escondido,,Jesmond Dene Park
285,WESTSIDE PARK,City of Escondido,,Westside Park
286,EL NORTE PARK,City of Escondido,,El Norte Park
287,DALEY RANCH PARK,City of Escondido,,Daley Ranch Park
288,Silverset Neighborhood Park,City of Poway,,Silverset Neighborhood Park
289,La Mesita Park,City of La Mesa,,La Mesita Park
290,Mission Trails Regional Park,City of San Diego,,Mission Trails Regional Park
291,Northmont Park,City of La Mesa,,Northmont Park
292,,City of Lemon Grove,0,
293,,City of Lemon Grove,3240 MAIN ST,
294,,City of Lemon Grove,7701 NICHOLS ST,
295,,City of Lemon Grove,0 LEMON GROVE AVE,
296,Summer Hill Park,City of San Marcos,Bel Esprit Cir,Summer Hill Park
297,Double Peak Regional Park,City of San Marcos,900 Double Peak Dr,Double Peak Regional Park
298,San Marcos Senior Center,City of San Marcos,Richmar Ave,San Marcos Senior Center
299,San Marcos Community Services,City of San Marcos,3 Civic Center Dr,San Marcos Community Services
300,Woodland Park,City of San Marcos,671 Woodland Pkwy,Woodland Park
301,Sky Ranch Park,City of Santee,,Sky Ranch Park
302,William Bradley Park,City of San Marcos,1587 Linda Vista Dr,William Bradley Park
303,Cerro De Las Posas Park,City of San Marcos,1387 W Borden Rd,Cerro De Las Posas Park
304,Hollandia Park,City of San Marcos,12 Mission Hills Ct,Hollandia Park
305,Knob Hill Park,City of San Marcos,860 Avenida Ricardo,Knob Hill Park
306,Montiel Park,City of San Marcos,2290 Montiel Rd,Montiel Park
307,Walnut Grove Park,City of San Marcos,2050 Sycamore Dr,Walnut Grove Park
308,Mission Sports Park,City of San Marcos,931 Bailey Ct,Mission Sports Park
309,Helen Bougher Park,City of San Marcos,1243 Borden Rd,Helen Bougher Park
310,The Laurels Park,City of San Marcos,950 Hawthorne Ct,The Laurels Park
311,Discovery Hills Children's Park,City of San Marcos,Via Vera Cruz,Discovery Hills Children'S Park
312,San Elijo Hills Mini Park,City of San Marcos,Questhaven Rd,San Elijo Hills Mini Park
313,Buelow Park,City of San Marcos,300 Autumn Dr,Buelow Park
314,Ridgeline Trailhead,City of San Marcos,San Elijo Rd,Ridgeline Trailhead
315,Connors Park,City of San Marcos,320 W San Marcos Blvd,Connors Park
316,Sunset Park,City of San Marcos,909 Puesta del Sol,Sunset Park
317,Regency Hills Park,City of San Marcos,555 Calle Capistrano,Regency Hills Park
318,Senior Center Tot lot,City of San Marcos,111 Richmar Ave,Senior Center Tot Lot
319,Civic Center Park,City of San Marcos,3 Civic Center Dr,Civic Center Park
320,Santa Fe Hills Park,City of San Marcos,701 Via Barquero,Santa Fe Hills Park
321,Amigo Park,City of San Marcos,730 Camino Magnifico,Amigo Park
322,Quail Valley Park,City of San Marcos,775 Avenida Leon,Quail Valley Park
323,Creek View Park,City of San Marcos,1217 Corte Encanto,Creek View Park
324,ALAMOSA PARK,City of Oceanside,Mesa Drive and Alamosa Park Drive,Alamosa Park
325,"KING, MARTIN LUTHER JR PARK",City of Oceanside,4300 Mesa Drive,"King, Martin Luther Jr Park"
326,LAKE PARK,City of Oceanside,4970 Lake Blvd,Lake Park
327,Moonlight Park,State Parks,,Moonlight Park
328,Scott Valley Park,City of Encinitas,1602 Willowhaven Rd,Scott Valley Park
329,Leo Mullen Sports Park,City of Encinitas,951 Via Cantebria,Leo Mullen Sports Park
330,Encinitas Community Park,City of Encinitas,425 Santa Fe Dr,Encinitas Community Park
331,Leucadia Roadside Park,City of Encinitas,860 N Coast Highway 101,Leucadia Roadside Park
332,Cottonwood Creek Park,City of Encinitas,95 N Vulcan Ave,Cottonwood Creek Park
333,Cardiff Sports Park,City of Encinitas,1661 Lake Dr,Cardiff Sports Park
334,LAKE DIXON PARK,City of Escondido,,Lake Dixon Park
335,,City of Escondido,,
336,ROD MCLEOD PARK,City of Escondido,,Rod Mcleod Park
337,Sweetwater River Park,County of San Diego,,Sweetwater River Park
338,Oak Crest Park,City of Encinitas,,Oak Crest Park
339,Snedeker Property,City of Encinitas,west side Saxony / south La Costa,Snedeker Property
340,Paradise Marsh (Bannister Steel),City of National City,,Paradise Marsh (Bannister Steel)
341,Paradise Marsh,US Fish & Wildlife,,Paradise Marsh
342,Poway Community Swim Center,City of Poway,,Poway Community Swim Center
343,Garden Road Neighborhood Park,City of Poway,,Garden Road Neighborhood Park
344,Sycamore Creek Neighborhood Park - A,City of Poway,,Sycamore Creek Neighborhood Park - A
345,San Elijo Park,City of San Marcos,1105 Elfin Forest Rd,San Elijo Park
346,Simmons Family Park,City of San Marcos,2180 Rocky Point Way,Simmons Family Park
347,Valley View Park,City of San Marcos,629 Corte Loren,Valley View Park
348,Foothills Park,City of San Marcos,880 Avenida Abeja,Foothills Park
349,Pebblestone Park,City of San Marcos,Glendale Ave,Pebblestone Park
350,Optimist Park,City of San Marcos,891 Borden Rd,Optimist Park
351,Valley Soccer Field,City of Poway,,Valley Soccer Field
352,Veterans Park,City of Poway,,Veterans Park
353,Bette Bendixen Park,City of Poway,,Bette Bendixen Park
354,The Pond,City of Poway,,The Pond
355,LUZ DURAN PARK,City of Vista,340 E TOWNSITE DR,Luz Duran Park
356,WAVE WATERPARK,City of Vista,101 WAVE DR,Wave Waterpark
357,CIVIC CENTER PARK,City of Vista,200 CIVIC CENTER DR,Civic Center Park
358,WILDWOOD PARK,City of Vista,651 E VISTA WAY,Wildwood Park
359,RANCHO BUENA VISTA ADOBE,City of Vista,640 ALTA VISTA DR,Rancho Buena Vista Adobe
360,BRENGLE TERRACE PARK,City of Vista,1200 VALE TERRACE DR,Brengle Terrace Park
361,GLORIA E MCCLELLAN SENIOR CENTER,City of Vista,1400 VALE TERRACE DR,Gloria E Mcclellan Senior Center
362,BREEZE HILL PARK,City of Vista,645 S MELROSE DR,Breeze Hill Park
363,SOUTH BUENA VISTA PARK,City of Vista,1602 MOUNTAIN PASS CIR,South Buena Vista Park
364,BUENA VISTA PARK BALLFIELDS,City of Vista,1851 S MELROSE DR,Buena Vista Park Ballfields
365,THIBODO PARK,City of Vista,1150 LUPINE HILLS DR,Thibodo Park
366,SHADOWRIDGE PARK,City of Vista,2101 LUPINE HILLS DR,Shadowridge Park
