,NAME,OWNERSHIP,LOCATION,ALIAS_NAME
1163,CARMEL MOUNTAIN OS,City of San Diego,,Carmel Mountain Open Space
1164,MIRA MESA OS,City of San Diego,,Mira Mesa Open Space
1165,SCRIPPS MIRAMAR OS,City of San Diego,,Scripps Miramar Open Space
1166,TECOLOTE CANYON NATURAL OS PARK,City of San Diego,,Tecolote Canyon Natural Open Space Park
1167,MISSION TRAILS OS,City of San Diego,,Mission Trails Open Space
1168,TIERRASANTA OS,City of San Diego,,Tierrasanta Open Space
1169,TECOLOTE CANYON NATURAL OS PARK,City of San Diego,,Tecolote Canyon Natural Open Space Park
1170,34TH ST CANYON OS,City of San Diego,,34th St Canyon Open Space
1171,34TH ST CANYON OS,City of San Diego,,34th St Canyon Open Space
1172,RANCHO MISSION CANYON OS,City of San Diego,,Rancho Mission Canyon Open Space
1173,LOS PENASQUITOS CANYON OS,City of San Diego,,Los Penasquitos Canyon Open Space
1174,CANYON HILLS OS,City of San Diego,,Canyon Hills Open Space
1175,LA ZANJA CANYON OS,City of San Diego,,La Zanja Canyon Open Space
1176,CANYON HILLS OS,City of San Diego,,Canyon Hills Open Space
1177,MISSION TRAILS OS,City of San Diego,,Mission Trails Open Space
1178,CHOLLAS RADIO SYSTEM OS,City of San Diego,,Chollas Radio System Open Space
1179,OTAY MESA OS,City of San Diego,,Otay Mesa Open Space
1180,LOS PENASQUITOS CANYON VERNAL POOL OS,City of San Diego,,Los Penasquitos Canyon Vernal Pool Open Space
1181,CANYON HILLS OS,City of San Diego,,Canyon Hills Open Space
1182,ALBATROSS CANYON OS,City of San Diego,,Albatross Canyon Open Space
1183,LOS PENASQUITOS CANYON OS,City of San Diego,,Los Penasquitos Canyon Open Space
1184,CARMEL VALLEY OS,City of San Diego,,Carmel Valley Open Space
1185,CANYON HILLS OS,City of San Diego,,Canyon Hills Open Space
1186,TIERRASANTA OS,City of San Diego,,Tierrasanta Open Space
1187,OTAY MESA OS,City of San Diego,,Otay Mesa Open Space
1188,34TH ST CANYON OS,City of San Diego,,34th St Canyon Open Space
1189,TECOLOTE CANYON NATURAL OS PARK,City of San Diego,,Tecolote Canyon Natural Open Space Park
1190,ROSE CANYON OS,City of San Diego,,Rose Canyon Open Space
1191,MID-CITY OS,City of San Diego,,Mid-City Open Space
1192,UPTOWN OS,City of San Diego,,Uptown Open Space
1193,OTAY VALLEY REGIONAL PARK,City of San Diego,,Otay Valley Regional Park
1194,MAPLE CANYON OS,City of San Diego,,Maple Canyon Open Space
1195,34TH ST CANYON OS,City of San Diego,,34th St Canyon Open Space
1196,OTAY VALLEY REGIONAL PARK,City of San Diego,,Otay Valley Regional Park
1197,CARMEL MOUNTAIN RANCH OS,City of San Diego,,Carmel Mountain Ranch Open Space
1198,LEXINGTON CANYON OS,City of San Diego,,Lexington Canyon Open Space
1199,KENSINGTON/COLLEGE OS,City of San Diego,,Kensington/College Open Space
1200,CHOLLAS PARKWAY OS,City of San Diego,,Chollas Parkway Open Space
1201,SCRIPPS MIRAMAR OS,City of San Diego,,Scripps Miramar Open Space
1202,TIERRASANTA OS,City of San Diego,,Tierrasanta Open Space
1203,SHAW VALLEY OS,City of San Diego,,Shaw Valley Open Space
1204,OTAY VALLEY REGIONAL PARK,City of San Diego,,Otay Valley Regional Park
1205,SCRIPPS MIRAMAR OS,City of San Diego,,Scripps Miramar Open Space
1206,MISSION TRAILS OS,City of San Diego,,Mission Trails Open Space
1207,SERRA MESA OS,City of San Diego,,Serra Mesa Open Space
1208,TIERRASANTA OS,City of San Diego,,Tierrasanta Open Space
1209,LOS PENASQUITOS CANYON OS,City of San Diego,,Los Penasquitos Canyon Open Space
1210,SORRENTO HILLS OS,City of San Diego,,Sorrento Hills Open Space
1211,MISSION TRAILS OS,City of San Diego,,Mission Trails Open Space
1212,CLEAR. SITE 536,City of San Diego,,Clear. Site 536
1213,MISSION TRAILS OS,City of San Diego,,Mission Trails Open Space
1214,KENSINGTON/COLLEGE OS,City of San Diego,,Kensington/College Open Space
1215,ALBATROSS CANYON OS,City of San Diego,,Albatross Canyon Open Space
1216,MISSION TRAILS OS,City of San Diego,,Mission Trails Open Space
1217,TIERRASANTA OS,City of San Diego,,Tierrasanta Open Space
1218,BLACK MOUNTAIN OS PARK,City of San Diego,,Black Mountain Open Space Park
1219,CARMEL VALLEY OS,City of San Diego,,Carmel Valley Open Space
1220,CARMEL VALLEY OS,City of San Diego,,Carmel Valley Open Space
1221,LOS PENASQUITOS CANYON OS,City of San Diego,,Los Penasquitos Canyon Open Space
1222,CARMEL VALLEY OS,City of San Diego,,Carmel Valley Open Space
1223,CARMEL VALLEY OS,City of San Diego,,Carmel Valley Open Space
1224,CARMEL VALLEY OS,City of San Diego,,Carmel Valley Open Space
1225,LOS PENASQUITOS CANYON OS,City of San Diego,,Los Penasquitos Canyon Open Space
1226,MISSION TRAILS OS,City of San Diego,,Mission Trails Open Space
1227,MISSION VALLEY PRESERVE,City of San Diego,,Mission Valley Preserve
1228,LOS PENASQUITOS CANYON OS,City of San Diego,,Los Penasquitos Canyon Open Space
1229,CARMEL VALLEY OS,City of San Diego,,Carmel Valley Open Space
1230,LOS PENASQUITOS CANYON OS,City of San Diego,,Los Penasquitos Canyon Open Space
